gameRT,PNash0,PNash1,PNashn,WPNash,effNashF,effNashO,wwGame,effGameF,effGameO,prefFGameF,prefOGameF,predGameF,prefOutcomeO,predGameO,cnssPrefOut,cnssPredOut,prefIneqGame,domGameF,domGameO,indiffF,indiffO,cmndGameF,cmndGameO,nonGameF,nonGameO,prefOutcomeF,prefOutcomeFSpoilt,prefOutcomeOSpoilt,block,expdGameF,expdGameO,outRT,wwChoice
-5.1168000000000005,1,-1,0,0,nan,nan,1,1,-1,1,1,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,-1,-1,0,0,1,2.4734,1
-0.6025,0,0,0,0,0.0,-1.0,0,1,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,1.8956,0
-0.008000000000000007,0,0,0,0,0.0,0.0,0,1,-1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,1,1.8589,1
0.22939999999999994,1,-1,0,0,nan,nan,0,-1,1,0,-1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,-1,0,1,1,0,1,0.5106,0
1.0733000000000001,0,0,0,0,0.0,1.0,0,-1,1,0,0,0,1,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,1,0,1,0.7044,0
-0.48060000000000014,0,0,0,0,nan,nan,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.6485,0
2.7472000000000003,0,0,0,0,0.0,0.0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0784,1
-0.2758999999999999,-1,1,0,-1,nan,nan,0,-1,1,0,-1,-1,0,0,-1,-1,0,1,0,0,0,0,0,0,0,-1,0,1,0,0,1,0.8313,0
-0.37729999999999997,1,-1,0,0,nan,nan,1,-1,1,0,1,1,1,-1,1,0,-2,0,0,0,0,0,0,0,0,1,0,-1,1,1,0,1.1456,1
-0.41759999999999997,0,0,0,0,0.0,0.0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6171,0
-0.14949999999999997,1,-1,0,0,nan,nan,0,1,-1,1,0,0,-1,1,0,1,0,0,0,0,0,1,0,0,0,0,-1,0,1,1,0,1.3583,0
-0.1891,0,0,0,-1,0.0,0.0,0,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0.2127,1
0.14670000000000005,0,0,0,0,1.0,0.0,0,1,-1,-1,1,0,0,0,0,0,-5,0,0,0,0,1,0,0,0,0,1,-1,1,1,0,1.1833,0
-0.4379999999999997,0,0,0,0,0.0,0.0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,1,3.1036,0
4.6414,0,0,0,0,0.0,-1.0,-1,1,-1,0,0,-1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2.5915,1
0.3177,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0.6146,1
-1.9074,0,0,0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2.9183,0
-0.9462000000000002,0,0,0,0,0.0,0.0,0,0,0,1,0,0,1,-1,0,-1,0,0,1,0,0,-1,0,0,0,1,-1,0,0,0,1,2.2368,0
13.7394,0,0,0,0,0.0,0.0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,0,15.3462,0
-0.1269,0,0,0,0,0.0,0.0,0,0,0,-1,0,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,1,0,1,1,0,1.0922,0
-1.8081,0,0,0,0,0.0,0.0,0,0,0,0,1,0,-1,0,0,0,2,0,0,0,0,0,1,-1,0,1,0,-1,0,0,1,1.8194,0
4.2494,-1,1,0,-1,nan,nan,0,1,-1,0,0,0,-1,-1,-1,-1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7.6224,0
0.8092,0,-1,1,0,1.5,-1.0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.3852,0
-0.2645999999999997,0,0,0,0,0.0,-2.0,-1,0,0,-1,0,0,-1,-1,0,-1,-1,1,0,0,0,0,0,0,0,-1,1,0,0,0,1,8.6507,1
-1.0949,0,0,0,0,1.0,0.0,0,1,-1,0,1,0,0,0,0,0,-1,0,-1,0,0,0,-1,0,0,1,0,-1,1,1,0,3.0019,0
-0.37310000000000004,0,0,0,0,0.0,0.0,0,0,0,0,1,-1,1,0,0,-1,0,1,0,0,0,0,-1,0,0,1,0,-1,1,1,0,0.5368,0
-0.06300000000000017,0,0,0,0,0.0,0.0,0,-1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.5834,0
-0.2518,0,-1,1,0,-0.5,-1.0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.9801,1
0.38950000000000007,0,0,0,1,0.0,0.0,0,1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,0.2251,1
0.1966,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0.7059,1
0.5674,0,0,0,0,0.0,0.0,0,1,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0.2201,1
7.2013,0,0,0,0,0.0,0.0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,-1,0,1,0,1.2264,0
0.18819999999999992,-1,1,0,0,nan,nan,0,1,-1,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1.0889,0
10.4252,0,0,0,0,2.0,0.0,1,0,0,0,1,1,1,0,0,1,-1,0,-1,0,0,0,0,0,0,1,0,-1,0,1,0,0.2742,1
-4.0281,0,1,-1,0,1.0,0.5,0,1,-1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,-1,-1,1,0,1,5.5068,1
-0.7747999999999999,0,0,0,0,1.0,0.0,0,1,-1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,4.5987,1
-0.07179999999999997,0,-1,1,0,-1.0,-0.5,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.3334,1
0.20639999999999992,0,-1,1,0,-1.0,1.5,0,-1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.9218,0
38.0976,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.3235,0
-0.0837,0,0,0,0,0.0,1.0,0,-1,1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0.6917,1
0.3075999999999999,0,-1,1,0,0.0,-1.0,0,-1,1,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1.9464,0
-1.7689,0,0,0,0,0.0,0.0,0,1,-1,0,0,0,0,1,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0.9829,1
-2.2104000000000004,0,0,0,0,1.0,0.0,1,0,0,1,1,0,0,0,1,0,-3,0,0,0,0,0,0,0,0,1,-1,-1,0,0,1,2.2255,1
3.2569,0,-1,1,0,-0.5,-1.0,0,1,-1,-1,-1,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,1,1,1,1,0,4.011,1
0.39239999999999997,1,-1,0,0,nan,nan,0,-1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,1,0.6681,0
-12.4779,1,-1,0,0,nan,nan,0,1,-1,1,-1,0,0,1,0,0,2,0,-1,0,0,0,0,0,0,0,-1,1,1,1,0,1.2383,0
0.4161999999999999,0,1,-1,0,1.0,0.0,0,-1,1,0,0,0,0,1,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,2.0776,0
0.1825000000000001,0,0,0,0,nan,nan,0,-1,1,1,1,-1,0,0,1,-1,-3,0,0,0,0,1,0,0,0,1,-1,-1,1,0,1,1.1482,0
-0.831,0,0,0,0,0.0,1.0,0,0,0,0,0,0,1,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.9601,0
0.8568999999999999,0,0,0,0,0.0,0.0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.5997,0
3.1561000000000003,1,0,-1,0,nan,nan,0,0,0,0,-1,0,0,1,1,1,-4,0,0,1,0,0,0,0,0,-1,0,1,0,0,1,4.8158,0
-1.3713,-1,1,0,0,nan,nan,0,-1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.6678,0
-0.09770000000000001,0,0,0,0,nan,nan,0,1,-1,0,0,0,1,-1,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0.5014,0
-1.0611000000000002,0,0,0,0,0.0,0.0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2.1692,0
-0.22919999999999996,1,0,-1,0,nan,nan,0,0,0,0,1,1,-1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,-1,0,1,0,0.642,0
0.04970000000000002,1,-1,0,0,nan,nan,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0.4856,0
0.9378000000000002,0,0,0,0,0.0,0.0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.1223,0
0.5703,-1,1,0,0,nan,nan,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0.4334,1
-2.6654,-1,1,0,0,nan,nan,0,-1,1,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4.0045,0
0.48960000000000004,0,0,0,0,0.0,0.0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.1435,0
